From,To,Distance
Delhi,Mumbai,1200
Delhi,Bangalore,1900
Delhi,Hyderabad,1400
Delhi,Chennai,2000
Delhi,Kolkata,1100
Delhi,Ahmedabad,900
Delhi,Pune,1300
Delhi,Jaipur,300
Delhi,Lucknow,500
Mumbai,Bangalore,900
Mumbai,Hyderabad,650
Mumbai,Chennai,1200
Mumbai,Kolkata,1800
Mumbai,Ahmedabad,500
Mumbai,Pune,180
Mumbai,Jaipur,1100
Mumbai,Lucknow,1400
Bangalore,Hyderabad,500
Bangalore,Chennai,300
Bangalore,Kolkata,1700
Bangalore,Ahmedabad,1400
Bangalore,Pune,800
Bangalore,Jaipur,2000
Bangalore,Lucknow,1800
Hyderabad,Chennai,550
Hyderabad,Kolkata,1400
Hyderabad,Ahmedabad,1100
Hyderabad,Pune,500
Hyderabad,Jaipur,1500
Hyderabad,Lucknow,1300
Chennai,Kolkata,1500
Chennai,Ahmedabad,1700
Chennai,Pune,1100
Chennai,Jaipur,2100
Chennai,Lucknow,1900
Kolkata,Ahmedabad,2000
Kolkata,Pune,1900
Kolkata,Jaipur,1600
Kolkata,Lucknow,900
Ahmedabad,Pune,700
Ahmedabad,Jaipur,700
Ahmedabad,Lucknow,1100
Pune,Jaipur,1300
Pune,Lucknow,1300
Jaipur,Lucknow,600 
