From,To,Distance
Delhi,Mumbai,1400
Delhi,Bangalore,2150
Delhi,Hyderabad,1580
Delhi,Chennai,2200
Delhi,Kolkata,1300
Delhi,Ahmedabad,950
Delhi,Pune,1450
Delhi,Jaipur,280
Delhi,Lucknow,550
Mumbai,Bangalore,980
Mumbai,Hyderabad,710
Mumbai,Chennai,1330
Mumbai,Kolkata,1950
Mumbai,Ahmedabad,530
Mumbai,Pune,150
Mumbai,Jaipur,1150
Mumbai,Lucknow,1450
Bangalore,Hyderabad,570
Bangalore,Chennai,350
Bangalore,Kolkata,1850
Bangalore,Ahmedabad,1500
Bangalore,Pune,840
Bangalore,Jaipur,2100
Bangalore,Lucknow,1900
Hyderabad,Chennai,630
Hyderabad,Kolkata,1500
Hyderabad,Ahmedabad,1200
Hyderabad,Pune,560
Hyderabad,Jaipur,1600
Hyderabad,Lucknow,1400
Chennai,Kolkata,1660
Chennai,Ahmedabad,1800
Chennai,Pune,1200
Chennai,Jaipur,2200
Chennai,Lucknow,2000
Kolkata,Ahmedabad,2100
Kolkata,Pune,1950
Kolkata,Jaipur,1700
Kolkata,Lucknow,1000
Ahmedabad,Pune,660
Ahmedabad,Jaipur,650
Ahmedabad,Lucknow,1200
Pune,Jaipur,1200
Pune,Lucknow,1400
Jaipur,Lucknow,550 
